commentId,articleId,subject,daumName,recommendCount,disagreeCount,regDate,content,isBest
14078556,39411,쌍갑포차 25화 생굴 (7),마사렛,1425,17,2016-10-26 00:07:40,대무당의 마음이 어땠을지 짐작조차 가지않네요. 이제 포차에 도착했으니 그 마음 한 조각 얼른 나눠듣고싶습니다.,True
14079040,39411,쌍갑포차 25화 생굴 (7),애미,1390,32,2016-10-26 00:25:02,"철저하게 끝까지 이타적이시네요 대무당님   수오는 대무당님 눈썹을 보고 눈치 챘을까요?  저렇게 힌트를 줬는데.얼마나 &quot;내가 니 고모다 &quot;  라는 말이 하고 싶었을까요 ?  당기는 핏줄을  가문을 위해 이를 물고 참는군요 버선발로 뛰어나가  빗물에 눈물을감추며...   마지막 할머니,김석철교수의 강의를 진짜 김석철이 되지 못했던 대무당님이 돌아가신 어머니의 나이가 되어  꼭 들었기를 바랍니다",True
14079245,39411,쌍갑포차 25화 생굴 (7),유하,893,25,2016-10-26 00:35:19,석철이 강연듣고 나가는  할머니가 대무당같은데..석철이 아빠인 수오가 알아보고 마지막 남은여생은 가족과 함께하는 엔딩이었으면 좋겠어요ㅠ,True
14080303,39411,쌍갑포차 25화 생굴 (7),김혜림,684,26,2016-10-26 02:35:46,수오가 대무당님에게 같이 가자 말하고 난 다음에 대무당님 배경이 빨간색으로 바뀌고 &#x27;문을 막는다 닫는다&#x27;라는 뜻의 거문이라는 한자가 쓰여진 지푸라기 풍선같은게 나오는게 왠지 대무당님 신이 거부하는 일이라 말도 못하고 같이 떠나지도 못하는게 아닌가 싶은데... 작가님 극화를 보면 정말 대단하다고 밖에 생각이 들지 않아요. 존경합니다 작가님!!!,True
14080214,39411,쌍갑포차 25화 생굴 (7),최쭈쭈,432,21,2016-10-26 02:11:04,"대무당님께 갈매기 눈썹이 참이쁘다며 하고싶은말을 속으로 삭히던 어머니와 똑닮은 모습이네요...
가슴이 너무 아픕니다..",True
14078733,39411,쌍갑포차 25화 생굴 (7),박경식,409,21,2016-10-26 00:12:48,감나무집씨들은 다 갈매기 눈썹... 대무당도 갈매기 눈썹이네요..,True
14081247,39411,쌍갑포차 25화 생굴 (7),홍짱,250,5,2016-10-26 09:56:48,"쌍갑포차편뿐만아니라 모든회가 다너무나 값진 회였습니다.
모든회차를 결제해섳보고있지만 돈아깝다는 생각 한번없이 봤네요^^작가님 감사해요.멋진영화한편 본 기분이에요^^♡",True
14084083,39411,쌍갑포차 25화 생굴 (7),soda,210,9,2016-10-26 23:42:53,"저. . 외람된 말씀이지만. 세이브원고가 있으시다면 한 20편쯤 푸셔도 좋습니다.  아니,  좋은정도가 아니고. 제발. . . 
풀어주세요ㅜㅜ 부탁드릴게요",True
14078720,39411,쌍갑포차 25화 생굴 (7),천야시우,172,13,2016-10-26 00:12:28,200원이 아깝지 않습니다.감사합니다.,True
14079013,39411,쌍갑포차 25화 생굴 (7),콜라베어,168,5,2016-10-26 00:23:22,대무당도 이제 외롭지않고 가족과함께 살며 행복했으면 좋겠어요 작가님ㅠㅠ,True
14081320,39411,쌍갑포차 25화 생굴 (7),나비,132,6,2016-10-26 10:07:32,아침부터 저만 눈물나는 거 아니죠? 대무당 마음이 전해져서 너무 슬프네요 ㅠㅠ 얼마나 말하고 싶었을까요? 평생을 저렇게 뒤에서 바라만봐야하는 심정 전 글로써는 표현도 못하겠네요 ,True
14080872,39411,쌍갑포차 25화 생굴 (7),thotho,80,2,2016-10-26 08:07:55,"작가님 미리보기 평생결제해놓을게요 
제 지갑 털어가세요 ㅠㅠ
담주까지 어찌 기다리나여 ㅠㅠㅠ ",True
14078798,39411,쌍갑포차 25화 생굴 (7),윤형철,68,8,2016-10-26 00:14:48,"같이가면 대가 끈어지는건가요??
아무래도 그럴꺼 같은데... 
작가님... 너무슬프게 하지마세요ㅜㅜ",True
14100704,39411,쌍갑포차 25화 생굴 (7),저스틴,67,3,2016-10-30 23:29:35,정말 이번 생굴 이야기는 대작입니다. 작가님 건강하게 오래오래 연재해주세요. ,True
14079645,39411,쌍갑포차 25화 생굴 (7),당,45,3,2016-10-26 01:00:50,하아.. 다음편도 빨리 보고 싶어요 정말 ㅠ ㅠ ,True
14081864,39411,쌍갑포차 25화 생굴 (7),유하,43,4,2016-10-26 12:50:29,으...쩌는 디테일~~석철이는 최소립닮았네요.  한쪽눈만 쌍꺼풀진것까지 ...,True
14081430,39411,쌍갑포차 25화 생굴 (7),P_B_,41,2,2016-10-26 10:40:46,얼른 빨리 단행본 출판해주세요 현기증난단말이에요,True
